0.2,0,3,1107.65,0.753145,0.204,
0.2,0,4,1875.34,0.985962,0.3455,
0.2,0,5,2632.97,1.19487,0.4819,
0.2,0,6,3323.83,1.36458,0.5977,
0.2,0,7,3930.94,1.52371,0.6955,
0.2,0,8,4433.53,1.66195,0.7732,
0.2,0.1,3,2316.09,1.07484,0.4208,
0.2,0.1,4,3017.17,1.28321,0.5814,
0.2,0.1,5,3594.33,1.43227,0.7035,
0.2,0.1,6,4138.78,1.55434,0.8006,
0.2,0.1,7,4569.24,1.63369,0.8644,
0.2,0.1,8,4904.13,1.69468,0.91,
0.2,0.2,3,2990.27,1.09773,0.5784,
0.2,0.2,4,3579.96,1.28619,0.7306,
0.2,0.2,5,4023.7,1.40324,0.8315,
0.2,0.2,6,4409.19,1.46232,0.8974,
0.2,0.2,7,4732.18,1.50151,0.936,
0.2,0.2,8,5011.59,1.526,0.9633,
0.2,0.3,3,3404.44,1.07747,0.6951,
0.2,0.3,4,3784.12,1.21471,0.8213,
0.2,0.3,5,4189.21,1.29922,0.9001,
0.2,0.3,6,4531.2,1.34296,0.9469,
0.2,0.3,7,4793.56,1.36486,0.9728,
0.2,0.3,8,4997.58,1.35117,0.9862,
0.2,0.4,3,3551.15,1.02105,0.7736,
0.2,0.4,4,3910.82,1.14826,0.8837,
0.2,0.4,5,4246.01,1.20344,0.9443,
0.2,0.4,6,4488.38,1.21697,0.9727,
0.2,0.4,7,4723.86,1.21,0.9877,
0.2,0.4,8,4912.52,1.19145,0.9942,
0.2,0.5,3,3659.96,0.972306,0.836,
0.2,0.5,4,3960.06,1.06898,0.924,
0.2,0.5,5,4224.63,1.10125,0.9679,
0.2,0.5,6,4470.05,1.10231,0.9869,
0.2,0.5,7,4675.97,1.08162,0.9945,
0.2,0.5,8,4864.17,1.06201,0.9976,
0.2,0.6,3,3712.76,0.917944,0.8801,
0.2,0.6,4,3937.57,0.994066,0.9508,
0.2,0.6,5,4191.31,1.0086,0.982,
0.2,0.6,6,4421.29,0.997389,0.9938,
0.2,0.6,7,4623.95,0.974897,0.9979,
0.2,0.6,8,4797.57,0.954736,0.9991,
0.2,0.7,3,3747.42,0.868849,0.9127,
0.2,0.7,4,3916.97,0.922496,0.9686,
0.2,0.7,5,4139.07,0.922822,0.9894,
0.2,0.7,6,4381.39,0.905439,0.9967,
0.2,0.7,7,4577.27,0.884044,0.9987,
0.2,0.7,8,4747.05,0.867717,0.9997,
0.2,0.8,3,3710.04,0.821063,0.9364,
0.2,0.8,4,3870.48,0.856812,0.98,
0.2,0.8,5,4109.92,0.849273,0.9942,
0.2,0.8,6,4341.66,0.829101,0.9984,
0.2,0.8,7,4541.33,0.808623,0.9993,
0.2,0.8,8,4697.08,0.796211,1,
0.05,0.4,3,3454.42,1.10143,0.7381,
0.05,0.4,4,3704.43,1.26241,0.8535,
0.05,0.4,5,3922.77,1.33587,0.9222,
0.05,0.4,6,4100.45,1.36393,0.9595,
0.05,0.4,7,4307.67,1.36626,0.9804,
0.05,0.4,8,4461.8,1.34968,0.99,
0.1,0.4,3,3485.62,1.07273,0.7494,
0.1,0.4,4,3766.05,1.21992,0.8632,
0.1,0.4,5,4015.51,1.2864,0.9297,
0.1,0.4,6,4219.64,1.31323,0.9643,
0.1,0.4,7,4443.55,1.31269,0.9832,
0.1,0.4,8,4620.59,1.29233,0.9917,
0.15,0.4,3,3519.33,1.04543,0.7619,
0.15,0.4,4,3828.75,1.18274,0.8742,
0.15,0.4,5,4124.92,1.24323,0.9368,
0.15,0.4,6,4346.17,1.2637,0.9685,
0.15,0.4,7,4586.3,1.2598,0.986,
0.15,0.4,8,4767.83,1.24108,0.9929,
0.2,0.4,3,3551.15,1.02105,0.7736,
0.2,0.4,4,3910.82,1.14826,0.8837,
0.2,0.4,5,4246.01,1.20344,0.9443,
0.2,0.4,6,4488.38,1.21697,0.9727,
0.2,0.4,7,4723.86,1.21,0.9877,
0.2,0.4,8,4912.52,1.19145,0.9942,
0.25,0.4,3,3594.95,0.994498,0.7851,
0.25,0.4,4,4001.41,1.11313,0.8925,
0.25,0.4,5,4352.03,1.16274,0.9495,
0.25,0.4,6,4610.46,1.17484,0.9769,
0.25,0.4,7,4859.45,1.16499,0.99,
0.25,0.4,8,5055.03,1.14171,0.9947,
0.3,0.4,3,3649.85,0.972508,0.7983,
0.3,0.4,4,4076.25,1.08125,0.9017,
0.3,0.4,5,4459.57,1.12684,0.9553,
0.3,0.4,6,4730.73,1.13051,0.9791,
0.3,0.4,7,4987.58,1.12329,0.9921,
0.3,0.4,8,5183.41,1.10055,0.9959,
0.35,0.4,3,3727.64,0.94928,0.8099,
0.35,0.4,4,4178.07,1.04739,0.9101,
0.35,0.4,5,4575.45,1.08897,0.9605,
0.35,0.4,6,4851.34,1.09437,0.9831,
0.35,0.4,7,5113.59,1.08145,0.9934,
0.35,0.4,8,5307.95,1.05893,0.9963,
0.4,0.4,3,3776.36,0.930181,0.8208,
0.4,0.4,4,4268.25,1.02034,0.9168,
0.4,0.4,5,4656,1.05712,0.9642,
0.4,0.4,6,4958.8,1.05711,0.9848,
0.4,0.4,7,5215.22,1.04041,0.9935,
0.4,0.4,8,5426.42,1.02191,0.9965,
