Date,Adj Close
3/26/2012,320.300262
4/2/2012,302.123413
5/1/2012,290.14035
6/1/2012,289.745758
7/2/2012,316.169373
8/1/2012,342.203369
9/4/2012,376.873779
10/1/2012,339.81076
11/1/2012,348.836761
12/3/2012,353.33728
1/2/2013,377.46817
2/1/2013,400.2005
3/1/2013,396.698975
4/1/2013,411.87384
5/1/2013,435.175598
6/3/2013,439.746002
7/1/2013,443.432343
8/1/2013,423.02771
9/3/2013,437.51825
10/1/2013,514.776123
11/1/2013,529.266602
12/2/2013,559.796204
1/2/2014,589.896118
2/3/2014,607.218811
3/3/2014,556.972473
4/1/2014,526.662415
5/1/2014,559.892578
6/2/2014,575.282593
7/1/2014,571.6026
8/1/2014,571.6026
9/2/2014,577.36261
10/1/2014,559.08252
11/3/2014,541.832458
12/1/2014,526.402405
1/2/2015,534.522461
2/2/2015,558.402527
3/2/2015,548.002441
4/1/2015,537.340027
5/1/2015,532.109985
6/1/2015,520.51001
7/1/2015,625.609985
8/3/2015,618.25
9/1/2015,608.419983
10/1/2015,710.809998
11/2/2015,742.599976
12/1/2015,758.880005
1/4/2016,742.950012
2/1/2016,697.77002
3/1/2016,744.950012
4/1/2016,693.01001
5/2/2016,735.719971
6/1/2016,692.099976
7/1/2016,768.789978
8/1/2016,767.049988
9/1/2016,777.289978
10/3/2016,784.539978
11/1/2016,758.039978
12/1/2016,771.820007
1/3/2017,796.789978
2/1/2017,823.210022
3/1/2017,829.559998
4/3/2017,905.960022
5/1/2017,916.440002
